Time (Sec);S1;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S2;S20;S21;S22;S3;S4;S5;S6;S7;S8;S9;
0.0;19160.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.1018746666666667;19160.0;99.98298639999999;99.98275759999999;99.98252879999998;99.98239999999998;99.98239999999998;99.98606079999999;99.98593199999999;99.98593199999999;99.97916799999999;99.98593199999999;99.98277359999997;99.98259999999999;99.98259999999999;99.98583199999999;99.98630559999998;99.98323119999998;99.98960879999998;99.98676319999998;99.98676319999998;99.98345999999998;99.97969919999997;
0.2022013333333334;19160.0;99.98288639999998;99.98275759999999;99.98252879999998;99.98229999999998;99.98229999999998;99.98606079999999;99.98583199999999;99.98583199999999;99.97876799999997;99.98583199999999;99.98267359999997;99.98229999999998;99.98229999999998;99.98573199999998;99.98620559999998;99.98313119999997;99.98950879999998;99.98666319999998;99.98666319999998;99.98335999999998;99.97969919999997;
0.302528;19160.0;99.98278639999998;99.98265759999998;99.98242879999998;99.98219999999998;99.98219999999998;99.98596079999999;99.98573199999998;99.98573199999998;99.97866799999997;99.98573199999998;99.98257359999997;99.98219999999998;99.98219999999998;99.98563199999998;99.98610559999997;99.98303119999997;99.98940879999998;99.98656319999998;99.98656319999998;99.98335999999998;99.97959919999997;
0.4045973333333333;19160.0;99.98278639999998;99.98255759999998;99.98232879999998;99.98209999999997;99.98209999999997;99.98586079999998;99.98563199999998;99.98563199999998;99.97856799999997;99.98563199999998;99.98247359999996;99.98209999999997;99.98209999999997;99.98553199999998;99.98600559999997;99.98303119999997;99.98930879999998;99.98646319999997;99.98646319999997;99.98325999999997;99.97949919999996;
0.5045973333333332;19160.0;99.98268639999998;99.98245759999998;99.98222879999997;99.98199999999997;99.98199999999997;99.98576079999998;99.98553199999998;99.98553199999998;99.97846799999996;99.98553199999998;99.98247359999996;99.98199999999997;99.98199999999997;99.98543199999997;99.98590559999997;99.98293119999997;99.98920879999997;99.98646319999997;99.98646319999997;99.98315999999997;99.97939919999996;
0.6060133333333332;19160.0;99.98258639999997;99.98235759999997;99.98212879999997;99.98189999999997;99.98189999999997;99.98566079999998;99.98543199999997;99.98543199999997;99.97836799999996;99.98543199999997;99.98237359999996;99.98189999999997;99.98189999999997;99.98543199999997;99.98590559999997;99.98283119999996;99.98910879999997;99.98636319999997;99.98636319999997;99.98305999999997;99.97929919999996;
0.7074293333333331;19160.0;99.98248639999997;99.98225759999997;99.98202879999997;99.98179999999996;99.98179999999996;99.98556079999997;99.98533199999997;99.98533199999997;99.97826799999996;99.98533199999997;99.98227359999996;99.98179999999996;99.98179999999996;99.98533199999997;99.98580559999996;99.98273119999996;99.98900879999997;99.98626319999997;99.98626319999997;99.98295999999996;99.97919919999995;
0.8074293333333331;19160.0;99.98238639999997;99.98215759999997;99.98192879999996;99.98169999999996;99.98169999999996;99.98546079999997;99.98523199999997;99.98523199999997;99.97816799999995;99.98523199999997;99.98217359999995;99.98169999999996;99.98169999999996;99.98523199999997;99.98570559999996;99.98263119999996;99.98900879999997;99.98616319999996;99.98616319999996;99.98285999999996;99.97909919999995;
0.9022013333333332;19160.0;99.98228639999996;99.98205759999996;99.98182879999996;99.98159999999996;99.98159999999996;99.98536079999997;99.98513199999996;99.98513199999996;99.97806799999995;99.98513199999996;99.98207359999995;99.98159999999996;99.98159999999996;99.98513199999996;99.98560559999996;99.98253119999995;99.98890879999996;99.98606319999996;99.98606319999996;99.98275999999996;99.97899919999995;
